tensor(0.0214, device='cuda:0')
tensor(-0.2290, device='cuda:0')
tensor(0.0160, device='cuda:0')
tensor(0.0305, device='cuda:0')
tensor(0.0230, device='cuda:0')
tensor(0.0271, device='cuda:0')
tensor(0.0241, device='cuda:0')
tensor(0.0261, device='cuda:0')
tensor(0.0185, device='cuda:0')
tensor(0.0343, device='cuda:0')
tensor(0.0369, device='cuda:0')
tensor(0.0419, device='cuda:0')
tensor(0.0355, device='cuda:0')
tensor(0.0300, device='cuda:0')
tensor(0.0242, device='cuda:0')
tensor(0.0207, device='cuda:0')
tensor(0.0297, device='cuda:0')
tensor(0.0290, device='cuda:0')
tensor(0.0438, device='cuda:0')
tensor(0.0348, device='cuda:0')
tensor(0.0287, device='cuda:0')
tensor(0.0116, device='cuda:0')
tensor(0.0384, device='cuda:0')
tensor(0.0341, device='cuda:0')
tensor(0.0322, device='cuda:0')
tensor(0.0362, device='cuda:0')
tensor(0.0379, device='cuda:0')
tensor(-0.2909, device='cuda:0')
tensor(0.0163, device='cuda:0')
tensor(0.0210, device='cuda:0')
tensor(0.0285, device='cuda:0')
tensor(0.0331, device='cuda:0')
tensor(0.0301, device='cuda:0')
tensor(0.0322, device='cuda:0')
tensor(0.0363, device='cuda:0')
tensor(0.0410, device='cuda:0')
tensor(0.0277, device='cuda:0')
tensor(0.0432, device='cuda:0')
tensor(0.0487, device='cuda:0')
tensor(0.0402, device='cuda:0')
tensor(0.0251, device='cuda:0')
tensor(0.0435, device='cuda:0')
tensor(0.0183, device='cuda:0')
tensor(0.0237, device='cuda:0')
tensor(0.0264, device='cuda:0')
tensor(0.0406, device='cuda:0')
tensor(0.0270, device='cuda:0')
tensor(0.0413, device='cuda:0')
tensor(0.0338, device='cuda:0')
tensor(0.0261, device='cuda:0')
tensor(0.0453, device='cuda:0')
tensor(0.0229, device='cuda:0')
tensor(0.0201, device='cuda:0')
tensor(0.0203, device='cuda:0')
tensor(0.0284, device='cuda:0')
tensor(0.0411, device='cuda:0')
tensor(0.0281, device='cuda:0')
tensor(0.0342, device='cuda:0')
tensor(0.0355, device='cuda:0')
tensor(0.0343, device='cuda:0')
tensor(0.0259, device='cuda:0')
tensor(0.0434, device='cuda:0')
tensor(0.0271, device='cuda:0')
tensor(0.0370, device='cuda:0')
tensor(0.0182, device='cuda:0')
tensor(0.0431, device='cuda:0')
tensor(-0.0070, device='cuda:0')
tensor(-0.0051, device='cuda:0')
tensor(0.0297, device='cuda:0')
tensor(0.0312, device='cuda:0')
tensor(0.0195, device='cuda:0')
tensor(0.0429, device='cuda:0')
tensor(0.0189, device='cuda:0')
tensor(0.0339, device='cuda:0')
tensor(0.0260, device='cuda:0')
tensor(0.0415, device='cuda:0')
tensor(0.0266, device='cuda:0')
tensor(0.0169, device='cuda:0')
tensor(-0.0294, device='cuda:0')
tensor(0.0155, device='cuda:0')
tensor(0.0202, device='cuda:0')
tensor(0.0173, device='cuda:0')
tensor(0.0306, device='cuda:0')
tensor(0.0415, device='cuda:0')
tensor(0.0275, device='cuda:0')
tensor(0.0330, device='cuda:0')
